page_id|title|locale
1|General information|en
1|Información general|es
1|Informations générales|fr
1|Informacje ogólne|pl
1|Общая информация|ru
1|一般信息|zh
2|Terms & Conditions|en
2|Términos y condiciones|es
2|Termes et conditions|fr
2|Zasady i Warunki|pl
2|Условия|ru
2|條款和條件|zh
3|Release notes|en
3|Notas de lanzamiento|es
3|Notes de version|fr
3|Informacje o wydaniu|pl
3|Примечания к выпуску|ru
3|發行說明|zh
4|Help desk|en
4|Mesa de ayuda|es
4|Bureau d'aide|fr
4|Pomoc techniczna|pl
4|Служба поддержки|ru
4|服務台|zh
5|Documentation|en
5|Documentación|es
5|Documentation|fr
5|Dokumentacja|pl
5|Документация|ru
5|文檔|zh
6|Tutorials|en
6|Tutoriales|es
6|Tutoriels|fr
6|Samouczki|pl
6|Учебники|ru
6|教程|zh